,lat,lon,name
951,49.2771432,-123.1264714,Blenz Coffee
952,49.2799212,-123.117893,Starbucks
955,49.2632231,-123.1389199,Starbucks
956,49.2634351,-123.1383336,Blenz Coffee
957,49.0251321,-122.2661425,Tim Hortons
958,49.1346168,-122.303079,Tim Hortons
959,49.2639716,-123.1702755,Starbucks
962,49.2658614,-123.242794,Starbucks
974,49.0498535,-122.3111436,Starbucks
975,49.0369738,-122.3114264,Starbucks
977,49.0414779,-123.0868778,Starbucks
978,49.0404879,-123.0897972,Tim Hortons
983,49.3087172,-123.042387,Starbucks
986,49.2642237,-123.0137679,Starbucks
987,49.2324709,-123.0240186,Starbucks
989,49.0862071,-123.0584994,Blenz Coffee
991,49.0239138,-123.0690299,Starbucks
993,49.2821466,-123.1185541,Tim Hortons
995,49.285758,-123.1116688,Starbucks
996,49.0406619,-122.220376,Tim Hortons
997,49.197483,-123.177973,Starbucks
999,49.1971835,-123.1754826,Tim Hortons
1001,49.3376967,-123.102508,Starbucks
1003,49.2622219,-123.1223325,Bean Around The World
1008,49.1152772,-122.6744991,Starbucks
1010,49.1145963,-122.6673314,Starbucks
1016,49.2629886,-123.1152168,Starbucks
1018,49.2338021,-122.855661,Starbucks
1019,49.0612355,-122.8122481,Starbucks
1028,49.2476955,-123.1008954,Blenz
1030,49.2643391,-122.9814886,Starbucks
1031,49.2255268,-123.1018603,Tim Hortons
1032,49.2678601,-123.0008187,Chatime
1033,49.2193282,-123.1490976,Bean Around The World
1040,49.1329601,-123.0981949,Tim Hortons
1042,49.044966,-122.2218883,Starbucks
1043,49.2665453,-123.0122592,Tim Hortons
1045,49.1899799,-122.8480699,Tim Hortons
1047,49.2004954,-122.9169112,Starbucks
1049,49.1389263,-123.13834,Coco
1052,49.1625893,-122.791488,Tim Hortons
1053,49.1646134,-122.800959,Starbucks
1054,49.1348903,-122.8452133,Tim Hortons
1055,49.1369558,-122.8443469,Starbucks
1057,49.2877059,-123.1133343,Starbucks
1058,49.2286146,-122.893023,Starbucks
1061,49.026631,-123.069605,Blenz
1064,49.1346015,-122.891924,Starbucks
1067,49.2752575,-123.1236127,JJ Bean
1083,49.0616235,-122.3808366,Starbucks
1085,49.2277573,-123.0036443,JJ Bean
1087,49.2682178,-123.0007033,Tim Hortons
1091,49.1323977,-122.6679078,Starbucks
1094,49.2540979,-123.1149606,Starbucks
1097,49.0451014,-122.7920397,Tim Hortons
1098,49.0468104,-122.7966339,Starbucks
1108,49.2643151,-123.173779,Starbucks
1111,49.3095058,-123.0794088,Caffè Artigiano
1116,49.3257329,-123.1435932,Caffè Artigiano
1118,49.2660551,-123.0845855,Tim Hortons
